split,caseid
train,1015368
train,1068263
train,1056219
train,1080518
train,1055074
train,1043740
train,1059397
train,1001576
train,1067864
train,1054916
train,1042968
train,1002611
train,1001815
train,1070255
train,1018075
train,1064539
train,1068457
train,1021415
train,1071977
train,1006283
train,1011519
train,1023817
train,1006468
train,1020531
train,1032795
train,1010082
train,1005007
train,1071710
train,1024487
train,1047335
train,1038981
train,1033097
train,1040298
train,1002745
train,1050589
train,1010969
train,1019576
train,1026358
train,1022355
train,1000187
train,1050169
train,1071848
train,1068676
train,1020699
train,1010981
train,1023656
train,1019378
train,1026729
train,1051474
train,1057190
train,1010612
train,1076885
train,1008713
train,1055678
train,1002159
train,1079443
train,1081819
train,1074005
train,1003762
train,1035220
train,1018423
train,1061356
train,1019326
train,1002347
train,1068939
train,1019740
train,1073559
train,1060478
train,1000397
train,1004678
train,1036380
train,1070916
train,1020512
train,1049277
train,1025720
train,1042108
train,1058121
train,1039848
train,1077061
train,1018950
train,1021402
train,1036181
train,1072898
train,1038733
train,1002514
train,1063178
train,1052479
train,1046470
train,1016959
train,1063266
train,1056644
train,1081451
train,1005137
train,1067662
train,1039752
train,1062244
train,1078086
train,1034387
train,1032623
train,1044067
train,1049142
train,1021347
train,1047952
train,1038230
train,1058011
train,1015123
train,1020359
train,1045675
train,1011015
train,1033543
train,1073577
train,1060500
train,1069630
train,1062228
train,1055320
train,1025265
train,1062168
train,1024913
train,1066198
train,1074608
train,1025991
train,1049629
train,1032942
train,1049733
train,1048337
train,1011400
train,1072938
train,1005459
train,1000578
train,1049401
train,1083617
train,1046758
train,1055634
train,1028907
train,1004876
train,1046081
train,1031468
train,1051191
train,1012164
train,1077083
train,1074391
train,1030245
train,1063205
train,1048112
train,1012709
train,1075367
train,1006872
train,1069049
train,1026008
train,1003456
train,1005776
train,1045078
train,1046097
train,1080687
train,1064906
train,1026387
train,1054998
train,1023681
train,1077484
train,1055710
train,1005669
train,1005516
train,1012559
train,1026183
train,1048761
train,1018061
train,1031828
train,1041014
train,1040684
train,1070056
train,1054350
train,1014988
train,1056748
train,1047372
train,1069720
train,1017221
train,1035356
train,1054306
train,1022317
train,1002097
train,1004093
train,1051685
train,1081638
train,1070373
train,1050077
train,1004617
train,1000381
train,1068035
train,1073032
train,1016609
train,1064697
train,1041794
train,1001567
train,1022483
train,1065398
train,1016185
train,1069111
train,1008683
train,1030697
train,1035670
train,1071482
train,1060249
train,1071386
train,1047454
train,1068217
train,1077672
train,1050172
train,1013328
train,1048617
train,1073494
train,1067424
train,1059839
train,1014661
train,1066009
train,1043113
train,1064711
train,1019135
train,1011240
train,1083549
train,1032307
train,1046689
train,1009020
train,1009014
train,1053627
train,1037392
train,1073800
train,1004308
train,1033457
train,1051389
train,1005195
train,1005038
train,1040096
train,1018007
train,1003111
train,1017830
train,1020858
train,1056635
train,1068166
train,1062710
train,1001452
train,1071890
train,1022023
train,1042418
train,1000012
train,1069560
train,1054331
train,1071680
train,1011167
train,1061490
train,1024561
train,1067156
train,1012828
train,1043620
train,1061853
train,1044943
train,1059369
train,1020437
train,1044246
train,1061047
train,1006687
train,1035050
train,1012003
train,1053037
train,1034322
train,1068595
train,1050798
train,1061411
train,1063493
train,1000101
train,1030931
train,1074716
train,1027889
train,1020289
train,1071320
train,1022821
train,1045042
train,1053823
train,1019268
train,1052443
train,1070081
train,1061759
train,1048045
train,1008366
train,1050993
train,1066153
train,1000509
train,1067391
train,1039019
train,1018357
train,1076375
train,1031577
train,1065780
val,1024997
val,1025088
val,1070760
val,1042315
val,1070000
val,1078079
val,1069714
val,1074172
val,1044316
val,1011002
val,1007668
val,1060463
val,1002719
val,1052529
val,1074326
val,1033846
val,1035145
val,1010163
val,1015184
val,1024082
val,1025894
val,1041417
val,1078976
val,1027710
val,1041581
val,1052026
val,1019066
val,1037797
val,1039617
val,1051981
val,1018195
val,1082944
val,1037330
val,1019857
val,1063325
val,1055521
val,1069132
val,1027362
val,1044473
val,1027308
val,1009859
val,1037638
val,1056061
val,1044636
val,1081661
val,1031188
val,1008080
val,1045836
val,1027941
val,1037949
val,1052858
val,1064287
val,1022206
val,1083386
val,1022919
val,1010770
val,1037420
val,1026877
val,1050156
val,1051814
test,1022128
test,1051284
test,1062941
test,1077912
test,1076850
test,1013344
test,1081139
test,1011088
test,1041095
test,1031157
test,1005430
test,1010191
test,1025021
test,1051004
test,1041627
test,1011021
test,1052735
test,1018222
test,1074247
test,1063389
test,1005201
test,1037153
test,1048564
test,1050727
test,1012726
test,1053014
test,1012275
test,1082814
test,1047467
test,1027775
test,1021331
test,1078805
test,1047975
test,1081699
test,1021722
test,1000542
test,1039036
test,1062404
test,1028490
test,1058726
test,1082436
test,1025885
test,1078249
test,1002807
test,1069868
test,1031541
test,1027918
test,1012283
test,1003444
test,1003618
test,1059649
test,1011779
test,1075788
test,1013372
test,1019608
test,1030024
test,1033562
test,1038788
test,1002722
test,1015722
